CTEmarion,2017-09-27 14:31,1,3,MCPS visits Bartow High's Future Educators Academy @CTEmarion @WeAreMarion @MarionCountyK12 @OcalaCEP @vanguard_high pic.twitter.com/rJ2cOMwhDn,,@CTEmarion @WeAreMarion @MarionCountyK12 @OcalaCEP @vanguard_high,,9.13108950287094E+017,https://twitter.com/CTEmarion/status/913108950287093761
TomJamesLive,2017-09-26 06:33,0,0,Join us this morning for a SPECIAL @ocalacep NetPerking at Columbia Bank on the Blvd! 8-9am @feleciaocala,,@ocalacep @feleciaocala,,9.1262608274176E+017,https://twitter.com/TomJamesLive/status/912626082741760001
florida_horse,2017-09-25 15:11,3,7,Caribbean hurricane horse relief efforts underway from Ocala area https:// goo.gl/iBsBaQ #FloridaBred @OcalaCEP #HurricaneMaria,,@OcalaCEP,#FloridaBred #HurricaneMaria,9.12394203526828E+017,https://twitter.com/florida_horse/status/912394203526828033
TomJamesLive,2017-09-25 06:48,0,0,CEP Partners! Tuesday morning - @ocalacep NetPerking at Columbia Bank 8-9am #MovingForward @feleciaocala,,@ocalacep @feleciaocala,#MovingForward,9.122676595632E+017,https://twitter.com/TomJamesLive/status/912267659563200513
OcalaDowntwnMkt,2017-09-23 10:50,0,4,Ribbon Cutting for our 1 Year Anniversary. Thanks @OcalaCEP pic.twitter.com/BgSeNHBwyr – bei Ocala Downtown Market,,@OcalaCEP,,9.11603609200152E+017,https://twitter.com/OcalaDowntwnMkt/status/911603609200152578
OcalaDowntwnMkt,2017-09-23 10:48,0,1,Come enter for an awesome free shopping bag sponsored by @OcalaHealthFL #ShopLocalHealLocal @ocalacep pic.twitter.com/uAb5oeWHfZ – bei Ocala Downtown Market,,@OcalaHealthFL @ocalacep,#ShopLocalHealLocal,9.11603211118764E+017,https://twitter.com/OcalaDowntwnMkt/status/911603211118764032
BrettBarnes22,2017-09-21 10:39,1,3,@autozone Hiring event for new DC in Ocala October 10-11 @CareerSourceCLM #movingforward @OcalaCEP pic.twitter.com/0koQwLRZZ4,,@autozone @CareerSourceCLM @OcalaCEP,#movingforward,9.10876203216712E+017,https://twitter.com/BrettBarnes22/status/910876203216711685
AreaDevelopment,2017-09-21 10:30,2,8,"Cardinal LG Expands Ocala, Florida, Production Center http://www. areadevelopment.com/newsItems/9-20 -2017/cardinal-lg-operations-center-ocala-florida.shtml … #econdev @EnterpriseFL @OcalaCEP",,@EnterpriseFL @OcalaCEP,#econdev,9.1087397312206E+017,https://twitter.com/AreaDevelopment/status/910873973122060288
TomJamesLive,2017-09-21 07:10,0,1,Today's the day! Attention all @ocalacep Partners -- Business After Hours at Zone Health & Fitness 5-7pm. It. Will. Be. Epic. #MovingForward,,@ocalacep,#MovingForward,9.10823518547464E+017,https://twitter.com/TomJamesLive/status/910823518547464192
TomJamesLive,2017-09-20 09:56,0,1,Ken Ford of IHMC - phenomenal speaker at this morning's @ocalacep exCEPtional Mornings breakfast! #MovingForward #CEP,,@ocalacep,#MovingForward #CEP,9.10503045250929E+017,https://twitter.com/TomJamesLive/status/910503045250928642
kevinOCALA,2017-09-20 08:25,0,0,@TheIHMC CEO Ken Ford speaking at @OcalaCEP 's exCEPtional Mornings breakfast #ocala #MovingForward pic.twitter.com/fzIuW3FHqI,,@TheIHMC @OcalaCEP,#ocala #MovingForward,9.10480043847057E+017,https://twitter.com/kevinOCALA/status/910480043847057408
TomJamesLive,2017-09-18 12:46,0,1,"Perks of Partnership! @ocalacep ""Networking University"" Sponsored by The Vines!",,@ocalacep,,9.09820825754358E+017,https://twitter.com/TomJamesLive/status/909820825754357760
RLWallace02,2017-09-14 15:52,1,0,@MCSOFlorida @ocalapd @OcalaCEP @GainesvillePD @Ocala_Fire I think we need a police/fire/linemen calendar! What say you all? pic.twitter.com/0LbV3pXSUd,,@MCSOFlorida @ocalapd @OcalaCEP @GainesvillePD @Ocala_Fire,,9.08418226438263E+017,https://twitter.com/RLWallace02/status/908418226438262790
FlChamber,2017-09-08 12:28,0,0,Thank you @RepWebster for this information! For those in Marion County - please seek shelter if you haven't been able to leave. @OcalaCEP https:// twitter.com/RepWebster/sta tus/906191612635729920 …,,@RepWebster @OcalaCEP,,9.06192633176961E+017,https://twitter.com/FlChamber/status/906192633176961026
JimmyMcSavage,2017-09-07 07:04,0,0,You may want to hang out with a better class of people.,,,,9.0574854388908E+017,https://twitter.com/JimmyMcSavage/status/905748543889080320
JimmyMcSavage,2017-09-07 07:03,0,0,"You 'partners' are buying you - Just tried to get / borrow a hammer for my 90-yr old mom re Irma, phone clerk mocked her lack of preparation",,,,9.05748425970418E+017,https://twitter.com/JimmyMcSavage/status/905748425970417667
florida_horse,2017-09-06 09:28,4,0,TOLLS LIFTED AS IRMA THREATENS FLORIDA https:// goo.gl/zBdQr8 @MarionCountyGov @OcalaCEP #HurricaneIrma #FTBOA pic.twitter.com/z7ju37nSP5,,@MarionCountyGov @OcalaCEP,#HurricaneIrma #FTBOA,9.05422432802152E+017,https://twitter.com/florida_horse/status/905422432802152448
TomJamesLive,2017-09-01 07:23,0,0,"CEP Partners, Learn to #network like a pro! @ocalacep ""Networking University"" is September 18th! Register now at http://www. ocalacep.com",,@ocalacep,#network,9.03579130754687E+017,https://twitter.com/TomJamesLive/status/903579130754686977
